File,Total Duration
0xe99fcd9396dbc294055350267b8257e9b05f01ac,0:01:15.630988
0xfcd5b675ae8e9dd0172c84568b6ef504e1dc8619,0:01:19.157757
0xa24d3886be3557782eeffb5f6ac6a4bb24faff55,0:00:33.041175
0x5d5bb5bdb7a228fd2f0f90c5ec7e5bc609529821,0:01:00.679991
0x1a0205cd3fa5b3d8a11444a14b6c0fc993c2dc14,0:01:00.630201
0xDcfCcaf54CB8c7c30bb7959929AbA24bF136FF57,0:02:15.594688
0x5b348ec54c290683697f6a812ca1bfbb0e74c70d,0:01:21.277112
0x9a1ba1687c2759fe96bfacbfb5300458b7d726f0,0:02:34.813287
0x4582b79844e753ed53928d8b8761e9f27eb22735,0:02:07.241718
0x60f19fd1f15fc08a1ea27d407dae25c4e7937547,0:00:14.962941
0x0dcd1b77ef4459c37551b3a3fa4a8e1f2485ad08,0:01:26.336663
0x16eA5Db6A7C2A72749a7f7600CAA64c97468D50E,0:00:19.903053
0x6ea4f5bcd17185c5958677569340e39ac6364e9f,0:01:03.498978
0xced519a9e7555dee0399f8da3019d8d557a88f81,0:00:35.837931
0x2cfC31b4e1E838453c22675F46bB248AC9DDD439,0:02:14.890232
0x33f9704b980a21b776eac1d9d4111db33ab6dfda,0:00:52.578926
0x7Afa3d0E44046C7ce8094dC429305A7ff3706D10,0:00:03.117460
0xcbe2cb2511e4fc2ca3552a65cf95324a5786c64f,0:00:59.325299
0xce85d05d57c4b16a09de0133c2abedf1bfeea57c,0:00:54.697260
0x3f121b9a6bc33b6c9f711ccbcaac67459c875641,0:01:31.325766
0xb663945fc96656ad9f5b7ad1561182aca7071592,0:01:11.386539
0x9248679610d7a502a069948278160c88239f123b,0:01:09.622958
0x5b7279055048d435d70e86be71764de0a09e5b7f,0:01:06.823436
0xfa0460097248642d69bfb223bab5999507a8c23d,0:01:08.580533
0x75b884711094aa9f407251892d28653d049fafbd,0:01:30.956581
0xb0990e799314c516060b67a030fa5f5318baab69,0:01:01.770279
0x306c0b64c39fb8924b026f6b9418d38278fc3c3f,0:00:47.128011
0xf7783e451fcbf7ccc2e15b7fee4f534b41ecd6e4,0:01:13.758158
0xb30aef19a72d235090100795dacfaf529813f1f3,0:00:48.700967
0x62fb2cdaf98b4851920548e991e14445721ad952,0:02:10.552535
0xa151e7a30b805d399106bef9ee6b4a463232b643,0:01:17.521410
0x71e454a66Df5c67a0C5AB61fc3c60953B6aeb67a,0:00:39.306283
0x86b130298719F753808E96cA6540b684a2d21466,0:00:00.256873
0x0ae84bdf27b002197a747ad24d9ac4c2e004e6da,0:01:56.996631
0x8a83ff75acb48feaa1644eeabf5acebd71b60c80,0:00:23.334825
0xdc2afdbf00f4bdb31d6c1e8b0b7588305f5847cd,0:00:59.686498
0x81afbd4f78e5a144fc11864e387672a0fac6b49f,0:01:10.429913
0x8d3e1386781a0f4dca28bbc890780ba88a87f87c,0:01:28.462631
0x0DF1B286F20c29BC9F61BcC98c5D42D0404DBd07,0:02:40.661968
0xd3DE54d9e424BF27b8259E69B205127722c771Cb,0:00:13.035948
0x18dcb0f9ce032ec85a17ae3e3a2f120999ccabe5,0:01:01.681020
